k_values,MSRE,r2_score
1,0.2165397285112249,-0.4964441120417302
2,0.19936321591561781,-0.37774214766859937
3,0.15965857919970408,-0.10335476276336242
4,0.1892052334087309,-0.30754323674742934
5,0.17583795595195673,-0.21516580660217577
6,0.16560480203144648,-0.14444740754788632
7,0.15943826084645513,-0.10183220565681705
8,0.15641743706153555,-0.08095615673250056
9,0.15933863298356182,-0.10114370599974731
10,0.15809300668727713,-0.09253553903798362
11,0.15599946717738852,-0.07806768644373263
12,0.15542341808241433,-0.07408677595516888
13,0.1546536074650899,-0.0687668350205306
14,0.15402204535946531,-0.06440228999755293
15,0.1546032507621054,-0.06841883425318351
16,0.15383240370753723,-0.06309173079727692
17,0.154557795902221,-0.06810470872109131
18,0.15344817343112255,-0.060436425284694506
19,0.1525721766759837,-0.054382662331319276
20,0.1528512441552318,-0.05631121783960569
21,0.15212441274843402,-0.05128829393262779
22,0.1525352926162781,-0.05412776714716938
23,0.15156331741571183,-0.0474107246167379
24,0.1511786123316117,-0.044752137844083384
25,0.15041959907459132,-0.03950681437739734
26,0.1502290192528141,-0.03818977175370297
27,0.15029252410054586,-0.03862863558773322
28,0.14987593975313906,-0.035749740346976866
29,0.1502857240352208,-0.03858164228176064
30,0.14985116967853573,-0.03557856144807525
31,0.15034594989640457,-0.03899784597787059
32,0.1498840824160057,-0.035806011960444195
33,0.15002091898711284,-0.03675165035462302
34,0.1498250628863064,-0.035398144876093385
35,0.1496422239472771,-0.034134597278414835
36,0.14955103798687472,-0.03350443719424345
37,0.14918092621062018,-0.0309467005969859
38,0.1491640909381975,-0.030830356845819473
39,0.14921996624857273,-0.03121649512997826
40,0.1492287953849402,-0.031277510765410854
41,0.1490598232658521,-0.030109792793068912
42,0.14939306211496267,-0.03241271114012512
43,0.1490931501790677,-0.030340105555520802
44,0.14892242101155145,-0.029160245124181028
45,0.1491298011495553,-0.03059338992677163
46,0.14926296832008945,-0.031513670143400674
47,0.14920414040556573,-0.03110712725670739
48,0.14883361391753785,-0.028546524705032716
49,0.14883086803404066,-0.028527548689776694
