k_values,MSRE,r2_score
1,0.07388952413734749,0.489370638371484
2,0.05960228647624033,0.588105650289615
3,0.05743007625556826,0.6031171736585154
4,0.05919201666758213,0.5909409075596601
5,0.060924320400845174,0.5789694520686415
6,0.0631440653701373,0.56362942965165
7,0.06537926492614772,0.548182605007383
8,0.06790203181057021,0.5307484848290518
9,0.07078102036861837,0.510852618578793
10,0.07371893638982713,0.4905495214896922
11,0.07655431076340666,0.47095506039034185
12,0.07917693720842985,0.4528308393583733
13,0.08193967878355125,0.4337383227490298
14,0.08453536219859994,0.4158002972888536
15,0.08700113708034334,0.39876003253570913
16,0.08922886781807554,0.38336482275774486
17,0.09118411858443111,0.3698526441058435
18,0.09322225751624179,0.3557676490566649
19,0.09503721686418848,0.34322498426021797
20,0.09690161808726544,0.3303406408099938
21,0.09865679012210506,0.318211149029367
22,0.10016371472970877,0.3077972241951421
23,0.10162455470271192,0.29770177708589507
24,0.10285987617026375,0.2891648238473079
25,0.10392157824724207,0.28182770454472084
26,0.10520542685151449,0.27295539414780046
27,0.10642565496591941,0.2645227467546254
28,0.10737928543246858,0.25793247943258457
29,0.10818445922922608,0.2523681536822381
30,0.1090485366313436,0.24639676196748372
31,0.10974105245439536,0.24161098324213626
32,0.11053395297420142,0.23613147459743467
33,0.11128173457204424,0.2309637699139634
34,0.11212659967335939,0.22512514891344315
35,0.11290968971128841,0.21971343770222918
36,0.11368351470465961,0.2143657545632387
37,0.11433253741038857,0.20988054432839187
38,0.11508126299132859,0.2047063160478081
39,0.1155695637776621,0.20133180901559733
40,0.11614411790977723,0.1973612297876458
41,0.11655023979418162,0.1945546376354037
42,0.11712939262864515,0.19055227809120445
43,0.11765540334960997,0.18691716848951379
44,0.11819888202068948,0.18316134288213548
45,0.11865730749397474,0.17999329559111787
46,0.11907604358044033,0.1770995302973356
47,0.11951209828837293,0.174086080965427
48,0.12003084432901642,0.17050117549102262
49,0.1204648340357547,0.1675019967915743
