k_values,MSRE,r2_score
1,0.16519968674403232,-0.14164777169945775
2,0.12924755881446762,0.10680709857059201
3,0.12031306438727801,0.16855083341112242
4,0.11595672100939444,0.19865627615221249
5,0.11521406704369781,0.20378854523692935
6,0.11477770096074523,0.2068041463925171
7,0.11490800381325289,0.20590366065829202
8,0.1151974886857957,0.20390311352534696
9,0.11522122947738575,0.2037390477068738
10,0.11586646254565701,0.1992800265722875
11,0.1167409364269879,0.1932367877641069
12,0.11776708309961449,0.18614538168864558
13,0.11809718739111118,0.18386412537246655
14,0.11878628161649771,0.1791019923296694
15,0.11925089479563032,0.17589118357383426
16,0.11979190577409778,0.17215241148409466
17,0.12037641998568542,0.16811300099647275
18,0.1208946473831901,0.1645316797164177
19,0.1212937256601628,0.16177376391997023
20,0.12198204819951619,0.15701696377856988
21,0.1222830583539844,0.1549367687196047
22,0.12272682174678233,0.1518700468720352
23,0.12311679754924487,0.14917503567272283
24,0.12344617894224966,0.1468987751012012
25,0.12390546614449528,0.14372477264787786
26,0.12428313251888683,0.1411148283842547
27,0.12456285799454951,0.13918172565099907
28,0.12513752516437443,0.1352103652517752
29,0.1254264185810787,0.13321390550091539
30,0.12580495606296094,0.1305979412626469
31,0.1261451068338535,0.12824725660164593
32,0.12638962476813606,0.12655746311404226
33,0.12674806271427866,0.12408040101682238
34,0.12684523197169065,0.12340889207883043
35,0.12718554024197232,0.1210571189846118
36,0.1274950431497604,0.11891823293721726
37,0.12775006597065222,0.11715584318368966
38,0.1280025533426449,0.11541097519211563
39,0.1283114298542519,0.1132764179895176
40,0.12831773631723167,0.11323283582813415
41,0.12851724403861067,0.1118540950445509
42,0.1287269114298262,0.11040514368939414
43,0.12896958728618238,0.10872808027532377
44,0.12903867879226041,0.10825060864379732
45,0.12915497222625885,0.10744693799281535
46,0.12932534254913208,0.10626955743413835
47,0.12950548550211136,0.10502464102473374
48,0.12970929761085861,0.10361615385152734
49,0.12977849926335258,0.10313792102963304
